regime,subject,full_plv,scrambled_plv,delta_plv,full_pac,scrambled_pac,delta_pac,full_phase_slip_rate,scrambled_phase_slip_rate,delta_phase_slip_rate,full_boundary_phase_slip_rate,scrambled_boundary_phase_slip_rate,delta_boundary_phase_slip_rate,full_loop_instability,scrambled_loop_instability,delta_loop_instability,full_boundary_loop_instability,scrambled_boundary_loop_instability,delta_boundary_loop_instability
hypo_support,21,0.1911568032461278,0.1659583322119825,0.025198471034145298,0.003516977148801798,0.0014923769863095652,0.002024600162492233,0.42458100558659223,0.4419227188081936,-0.017341713221601385,0.5037037037037037,0.4296296296296296,0.07407407407407407,1.5036999498853638,1.576054779703094,-0.07235482981773012,1.8684370993615482,1.4549998940354483,0.41343720532609995
hypo_support,22,0.1941181645829745,0.14345678942385662,0.050661375159117894,0.0022111679739311727,0.0020211805297595887,0.00018998744417158403,0.40875232774674114,0.42702513966480443,-0.018272811918063292,0.4939814814814814,0.4268518518518518,0.0671296296296296,1.4965366153054602,1.4965042686417935,3.234666366669359e-05,1.751577239026008,1.5308159076039352,0.22076133142207288
hypo_support,23,0.2024078677870663,0.18530299811123155,0.017104869675834744,0.0023259531284843316,0.0018012597827285475,0.0005246933457557842,0.3677839851024209,0.3722067039106145,-0.004422718808193615,0.47870370370370363,0.36388888888888893,0.1148148148148147,1.3210068792393301,1.3887424670403903,-0.06773558780106015,1.6436504586828073,1.3464537161388606,0.2971967425439468
hypo_support,24,0.1914024296752925,0.19425799481871286,-0.0028555651434203633,0.003063919587788581,0.0012387511595453506,0.0018251684282432302,0.37360335195530725,0.386522346368715,-0.01291899441340777,0.42824074074074076,0.3810185185185186,0.047222222222222165,1.3068297752625,1.404743549679858,-0.09791377441735793,1.5209957436443964,1.326802974418214,0.19419276922618245
hypo_support,25,0.18916981901672872,0.18637140996804105,0.0027984090486876667,0.0022522684764653693,0.00162023892679966,0.0006320295496657093,0.4029329608938547,0.4222532588454376,-0.019320297951582854,0.4490740740740741,0.41712962962962963,0.0319444444444445,1.4513240367513198,1.4726611522372264,-0.021337115485906555,1.5534424599239611,1.3476396300267224,0.20580282989723875
hypo_support,26,0.194461235399953,0.1578406820183218,0.0366205533816312,0.0026744094692192897,0.0028638730944852498,-0.00018946362526596006,0.3950186219739292,0.40770484171322163,-0.01268621973929246,0.46574074074074073,0.41250000000000003,0.0532407407407407,1.3797142273531764,1.4573772449415483,-0.07766301758837191,1.6977891859746739,1.5042851815734442,0.19350400440122972
hypo_support,27,0.16087851269782835,0.16894900056701093,-0.008070487869182574,0.0028185997276116955,0.0015301558173855413,0.0012884439102261542,0.41550279329608936,0.4314478584729981,-0.015945065176908746,0.48148148148148157,0.4393518518518518,0.04212962962962974,1.4876301068515478,1.5201878095844987,-0.03255770273295089,1.8298320107944293,1.5295850058712097,0.30024700492321954
hypo_support,28,0.17262227775399897,0.16034973005019018,0.012272547703808784,0.00255166720596622,0.001772541209483283,0.0007791259964829368,0.4038640595903166,0.4175977653631285,-0.013733705772811855,0.4837962962962963,0.42916666666666664,0.05462962962962964,1.4483430123399919,1.488554406357347,-0.040211394017355184,1.6857904648079405,1.5003458824484786,0.18544458235946193
hypo_support,29,0.18184668725612715,0.15597065312434796,0.02587603413177919,0.0022644638607898803,0.0017466706171416855,0.0005177932436481948,0.4029329608938547,0.4245810055865922,-0.021648044692737456,0.4837962962962963,0.4060185185185185,0.07777777777777778,1.470244372583473,1.4754614315263943,-0.005217058942921238,1.780008186204511,1.419156401076912,0.36085178512759897
hypo_support,30,0.19517325298043894,0.14046284777443094,0.054710405206008006,0.002676793784644713,0.0013242305826252356,0.0013525632020194775,0.3907122905027933,0.407937616387337,-0.017225325884543674,0.4537037037037037,0.4083333333333334,0.04537037037037034,1.3558328491313745,1.3895269121309952,-0.033694062999620744,1.424531455073649,1.4146155223538965,0.00991593271975244
