regime,subject,full_decode_acc,shuffle_decode_acc,full_entropy,shuffle_entropy,full_silhouette,shuffle_silhouette
over_stabilization,31,0.7774356869184457,0.3426968488544843,0.330088384760588,0.7941530602195869,0.09080971191856835,-0.011564382427571828
mistimed_support,0,0.7015108463706595,0.3309369757967889,0.44124629940321763,0.7595135650292864,0.05829937074417359,-0.008733006316172217
mistimed_support,1,0.6856763086271283,0.32402894697976664,0.3870633705023436,0.6769356762678564,0.026653402883098417,-0.01688349779254063
mistimed_support,2,0.7062703172125664,0.3234519799869344,0.5954443713758185,0.8591602253747447,0.025172523971319565,-0.018454272415151633
mistimed_support,3,0.5328885182096191,0.32988601612454826,0.4560184993929221,0.7330730513224838,0.017092652367495166,-0.01865983148708998
mistimed_support,4,0.7638048835125448,0.3125,0.2551455532414555,0.6458592031911298,0.07598657685805857,-0.03547297340421475
mistimed_support,5,0.6385830784913353,0.37579001019367997,0.4767722396467919,0.7211660382240168,0.03622364036622982,-0.012108901213346547
mistimed_support,6,0.6907407407407408,0.2798941798941799,0.5761827480186775,0.8695270269585728,0.03240469442632371,-0.008609719519714216
mistimed_support,7,0.5203907203907204,0.3549043549043549,0.4325952692984054,0.6322342950405057,-0.0007568346293431733,-0.024038650894266256
mistimed_support,8,0.7151231527093597,0.3331034482758621,0.33069111021894726,0.6649382053264931,0.05734864185929069,-0.01212116175383696
mistimed_support,9,,,,,,
mistimed_support,10,0.540882509303562,0.34380648591174906,0.42435444841040115,0.655065194362933,0.029415928244246117,-0.009406094191329713
mistimed_support,11,0.6707764033740263,0.30994152046783624,0.42496032788811233,0.7539340443105425,0.06463891359856964,-0.002960104902082968
mistimed_support,12,0.713330341508056,0.2701354240912331,0.539403639608778,0.8432169795214907,0.03343352788824207,-0.010367629337106252
mistimed_support,13,0.6112864758698092,0.32231404958677684,0.48527213823295706,0.7114447146584844,0.006602422161535575,-0.020691814366651202
mistimed_support,14,0.5868109748544531,0.31296296296296294,0.48546143910137357,0.7343357194269317,0.020817262686121985,-0.012455320829377626
mistimed_support,15,0.5732610801329878,0.33989764129951044,0.45282167603470214,0.7471788121163494,0.0454789341512458,-0.03154345474856744
mistimed_support,16,0.6904320987654321,0.3712682379349046,0.38943484347993773,0.714921396146966,0.0624982542019002,-0.009988401120633015
mistimed_support,17,0.6919506999391357,0.3486635220125786,0.5404929534126656,0.7841912327628819,0.054794465821344375,-0.018543441831358906
mistimed_support,18,0.5542227068944626,0.3155216284987277,0.4375860833130333,0.6304980258646679,0.03300372041036776,-0.03528426736276254
mistimed_support,19,0.7672306169012871,0.3063960018628752,0.42553733143628364,0.847818675511004,0.05458058564900135,-0.01072348327326174
mistimed_support,20,0.6357515940849273,0.30206698063840925,0.5482148389520792,0.8054458018214752,0.016593477790225533,-0.018257976840281964
mistimed_support,21,0.6388371470830242,0.34033740705404875,0.4290893698792036,0.7693906114442279,0.033978701644976725,-0.01247602872912158
mistimed_support,22,0.7034408602150538,0.2731899641577061,0.4313361781311019,0.7944826851063858,0.059768978868132414,-0.018038230023122194
mistimed_support,23,0.595173322612347,0.36269990172429195,0.6173110514273827,0.7898170395044156,0.010660919042586023,-0.008779728677976524
mistimed_support,24,0.6910004037956794,0.31496062992125984,0.2968974668559749,0.6275159191024298,0.03350546113041249,-0.016499911589113445
mistimed_support,25,0.7476911054276782,0.321256038647343,0.2195074580414276,0.5278822008821996,0.043521472320433484,-0.065894236515519
mistimed_support,26,0.7179487179487181,0.32621082621082625,0.41279088240561695,0.7223197274063141,0.05591939382189734,-0.016153664892437008
mistimed_support,27,0.7401345699218039,0.3713857064920895,0.3963262065166667,0.80641842506459,0.08568886643301606,-0.017194794512090276
mistimed_support,28,0.7455132363389244,0.31947662146438904,0.40873411997370507,0.7434988103412763,0.07534246869705293,-0.018087620649092223
mistimed_support,29,0.7115977360670672,0.32144863773581306,0.6080755832593817,0.9158196953445705,0.023199304782274718,-0.014147680296151627
mistimed_support,30,0.5478761978761978,0.29568764568764566,0.4960762442676103,0.7330509818822084,0.05462570455684515,-0.03732559104517124
mistimed_support,31,0.8064721578286487,0.3590625905534628,0.32076958007150036,0.6651583083480446,0.05574584522025327,-0.015724219305628707
reactive_noise,0,0.6155216284987278,0.3625106022052587,0.43554363589591577,0.5806991678873159,-0.01989092380721945,-0.020044575357655157
reactive_noise,1,0.6253127747345641,0.34702779468452016,0.47448627042346203,0.6949036846631476,0.009247087666494366,-0.03539006060853101
